__label__Support	we should limit judicial activism so that we do not depart from the constitution.
__label__Attack	judicial activism can be useful to prevent truly bad people who abuse the letter of the law to skirt punishment.
__label__Support	judicial activism should be limited to avoid violence among the opposition.
__label__Support	judicial activism violates the legislature's authority, endangering the coequal balance of the governmental branches.
__label__Attack	judicial activism can give proper justice to those when the law isn't completely clear
__label__Attack	judicial activism should not be limited as times have changed, circumstances are vastly different, than a reason why an initial law was enacted.
__label__Support	judges by definition are supposed to be impartial. having activist judges defeats the purpose
__label__Support	the judicial system requires independence, judicial activists undermine this independence and the practice should be limited.
__label__Support	judicial activism lets judges give the final verdict based on feelings so they will have the power to let things slide and give people less sentences than they deserve
__label__Attack	our laws need to evolve with the times we are living in
__label__Attack	some laws may not be the best, and opinions are needed.
__label__Support	we should limit judicial activism since that leads to civil unrest do to the nature of activists.
__label__Attack	it is helpful for the judiciary to take public action should they wish to do so as it demonstrates that they are human.
__label__Attack	every judge is trusted to give their own interpretation of the constitution; there is no way to prevent implicit biases from coming up in their decisions.
__label__Attack	there should be no limits. how are we to move forward in society if we limit the thought process of judges?
__label__Attack	many laws need to change with the times and a judge is in a better position than our elected officials to accurately and fairly review those laws.
__label__Support	we should limit it, laws should not be changed for special circumstances
__label__Support	judicial activism provides a limited view of procedure
__label__Support	Judicial activism should be limited as there should be enough statutes of law to allow for most situations and fixed punishments are more acceptable than an individuals response to a case.
__label__Attack	sometimes politics becomes so corrupt and untenable, that the only way to make change in the country is through judicial activism.
__label__Support	judicial activism is dangerous in that it allows for personal opinion to possibly get in the way of true justice. personal opinion clouding what is law should not be allowed.
__label__Support	judges are to base decisions on the laws of the country not on their personal beliefs. when a judge puts his bias to a case it can change laws and not support the rights of the individual.
__label__Support	judicial activism should be limited as judges should stick to their job and not try to grandstand on issues to gain popularity.
__label__Support	judicial activism should be limited as there are basic reasons why a law was put in place and a single judge should not be able to choose to ignore the basic law.
__label__Support	judicial activism allows judges to argue their own views instead of making decisions based on existing constitutional law.
__label__Support	judicial activism should be limited because law making is best done by the legislative and executive branches of government
__label__Support	judicial activism could lead to a decision being made based on the false beliefs of one person.
__label__Attack	judicial review is a crucial fallback to monitor political activity
__label__Attack	judges are going to use their beliefs to interpret laws and we shouldn't limit that once they are elected, we should understand their views before electing them.
__label__Support	we should not support judicial activism because laws are laws and should be strictly followed as written and if they are wrong, then the people need to vote to rewrite them.
__label__Support	judges should stick to the law and be unbiased in every ruling.
__label__Attack	judicial activism is the only way to maintain control
__label__Support	judicial activism should be limited because it doesn't apply any laws at all.
__label__Attack	judicial activism shouldn't be limited because it allows judges to rule in favor of the right thing regardless if the current laws are obstructing said behavior. this is essential for democracy.
__label__Support	judicial activism enables judges to override any law that exists, which means new rules will be created and the existent laws might not be followed.
__label__Attack	we should not limit judicial activism because it is an important check and balance on the legislative and executive arms of government.
__label__Support	sometimes the laws of the lands contradict a justified action.
__label__Attack	activist judges are an important part of bringing about legislative change
__label__Support	we should limit judicial activism because people making rulings on personal opinions instead of the law could set a bad president and other people may try to do the same crime if it is gotten away with
__label__Support	judges should not let their biases come into play when making judicial decisions; they should adhere to a strict interpretation of the constitution.
__label__Support	justice can not be subject to personal opinions
__label__Support	judicial activism may lead to "despotic behavior", therefore we should avoid it.
__label__Attack	judicial activism can be beneficial in some cases.
__label__Attack	we have to respect the view of judges so they need to have the freedom to express judicial activism.
__label__Attack	certain miscarriages of justice can only be rectified by judges practicing judicial activism
__label__Support	people should be judged by their actions not how the judge feels about them
__label__Support	judicial activism should be limited to the facts of the case rather than the prejudices of each judge otherwise there are different rules for different people which is not justice.
__label__Attack	judicial activism allows poorly or misconceived legislation to be reconsidered
__label__Support	judicial activism can skew the law and make it unfair so we should limit judicial activism.
__label__Attack	judicial activism is necessary to determine outcomes of cases that are not black and white.
__label__Attack	we should not limit judicial activism because judges have better knowledge of the laws than juries do
__label__Support	everybody is entitled to an opinion and everybody has different ones. it isn't fair to punish someone based on something other than the law.
__label__Attack	check-balancing government use of power in a democracy is what makes democracy the better governing form. judicial activism will limit government overuse of its power
__label__Position	There should be a federal Constitution for a European Federation
__label__Support	The EU is established on treaties, but treaties have no soul. Only a constitution has a soul, provided it is well designed: from, by, and for the people.
__label__Support	People are willing to volunteer change in relation to involuntary inflicted changes, such as technology, economy, and climate. With this in mind, I hope a European Constitution will be long-lasting and help the people. We have to react to the circumstances and start fast.
__label__Position	We should abolish low emission zones that prevent old cars from entering
__label__Position	We should adopt a zero-tolerance policy in schools
__label__Attack	zero telerance policied do not address underlying causes for the behaviour that is causing the issue
__label__Support	children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.
__label__Support	a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.
__label__Support	bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.
__label__Support	a zero tolerance policy will scare the children into behaving and following the rules.
__label__Attack	the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.
__label__Support	zero-tolerance policies keep schools safer by immediately removing the problem
__label__Attack	students should be able to state their opinions and by so learn to mature. by punishing at first sign of disobedience we are just have conformity not learning.
__label__Support	zero-tolerance policies are helpful as they stop children misbehaving
__label__Attack	it is unfair on those being bullied to punish them the same as you punish the bully
__label__Attack	zero tolerance leaves no room for individual cases where it may do more harm than good
__label__Attack	as americans we are granted the right of due process. sometimes there are extenuating circumstances that must be taken into account.
__label__Support	all schools should adopt a zero-tolerance policy as kids need to know they can not act inappropriately at any given moment when in school.
__label__Support	zero tolerance sets a clear and specific guideline for all to adhere to
__label__Attack	schools already have systems and hierarchies, there is no need to employ further policies.
__label__Support	Some violent and extreme behaviours in schools deserve a fierce and sharp reaction.
__label__Attack	we shouldn't adopt a zero-tolerance policy in schools because a misunderstanding can cause innocent students to be suspended or expelled
__label__Support	zero-tolerance must be mandatory in school and is only way to stop negative stuff which happens so often in schools.
__label__Attack	however these policies can impede the advancement of children from troubled backgrounds or with additional needs. they need a safe place to learn in a positive behaviours in a supportive environment.
__label__Support	it makes a school a safe place for children to learn
__label__Support	Zero-tolerance policies may seem unfair to the individual but bad and risky behavior at schools spreads faster than wildfire. Sometimes we must make an example of an individual for the greater good.
__label__Support	i agree that a zero-tolerance policy in schools is a good idea since it would mean that our children are safer when they go to school.
__label__Attack	a zero-tolerance policy gives administrators no leeway if a student commits a less than serious crime.
__label__Attack	We should not adopt zero tolerance policies because they have not improved school discipline in other districts, only introduced more punishments for students.
__label__Support	a zero-tolerance policy in schools shows children that the schools are not playing around when it comes to punishment
__label__Support	we need to keep other kids safe in schools by enforcing a zero-tolerance policy in schools. we can't have drugs or weapons in our schools and give those kids a pass.
__label__Attack	teaching children to think for themselves and learn based on their own actions is important to their growth. stunting them with zero-tolerance does no one any favors.
__label__Attack	the brain of a child isn't fully developed and it isn't fair to have such harsh penalties on them
__label__Support	i think it is a very appropriate method given the physical and psychological violence that exists in schools today.
__label__Attack	children will make mistakes, because they are not mature. we have to allow some discretion in the hands of the administrators
__label__Attack	students are not yet adults, and circumstances are unique for each child.
__label__Attack	people make mistakes and should be given a second chance. a zero-tolerance policy in school would not teach the student a lesson, it would just rid the school of the problem.
__label__Attack	each case needs to be reviewed independently and punishments then established.
__label__Support	by adopting a zero-tolerance policy in schools we can cut bullying out since those who do it will be removed from the school.
__label__Attack	we don't need a zero-tolerance policy that punishes students harshly for small things
__label__Attack	A zero tolerance policy in schools is a very old fashioned theory, and it has failed over and over again.
__label__Attack	the school is designed to educate not to accept student abuse
__label__Attack	a zero tolerance policy is unfair for minimal infractions.
__label__Attack	we shouldn't adopt a zero tolerance policy in schools because it could cause kids to be wrongfully punished due to misunderstandings for example protecting themselves against a bully
__label__Support	a zero-tolerance policy in schools provides a structured and safe environment for children to learn.
__label__Attack	zero-tolerance results in an overly disciplinarian approach, and is unable to distinguish between all the subtle gradations of rule-breaking.
__label__Support	zero-tolerance policies are the only effective system to keep schools safe from the threats of drugs and school shootings
__label__Support	we should adopt a zero tolerance because it will keep the children in check.
__label__Support	We should adopt a zero-tolerance policy in schools as children of school age are in a formative state and will learn good lessons for life including what is and isn't allowed in a good society.
__label__Attack	a zero-tolerance policy gives no leeway for administrators in cases where the crime may not be so serious.
__label__Attack	there are always exceptions to everything so zero-tolerance policies are not good because it doesn't allow for any exceptions.
__label__Attack	a zero-tolerence is too harsh, children get reprimanded for even the most innocent act.
__label__Support	a zero-tolerance policy within schools will help support a healthy environment where students do not feel threatened due to the differences (or perceived differences).
__label__Support	adopting a zero tolerance rule in schools is good for safety.
__label__Support	this would show that schools are serious about stamping out bullying and bad behavior. too many people get away with bad things because schools are scared to punish them.
__label__Support	zero-tolerance policies provide a safe space
__label__Attack	in many cases punishment does not match crime
__label__Support	Zero-tolerance policy works- Think of schools three decades ago, when the policy was prevalent. As a result children were obedient and disciplined, as opposed to students' behaviour today, using moderd soft approaches in schools.
__label__Support	zero-tolerance policies ensures pupils know exactly where they are in terms of rules and regulations leaving no room for ambiguity, thus ensuring better behaviour.
__label__Attack	We should not adopt a zero-tolerance policy in schools- children need more tolerance in their lives in order to flourish, and creating a zero-tolerance policy will cause harm and suffering.
__label__Support	a zero tolerance policy will lead to safer schools by removing troublemakers immediately
__label__Attack	we need to remember we are talking about children not criminals, this policy is far too harsh and unnecessary. let children be children.
__label__Support	adopting a zero tolerance in schools will help reduce the amount of bullying that happens.
__label__Support	the security of child and teachers is esential for all
__label__Attack	Zero-tolerance policies leave no room for explaining mitigating circumstances, which is both unfair to the individual being punished and also sends a negative message to the school community as a whole.
__label__Support	this is the only way to maintain order
__label__Support	it is a good measure, since our youth currently lack responsibility and discipline, and with this we favor more that ability
__label__Support	we should adopt a zero-tolerance policy to protect all of our children.
__label__Support	zero tolerance in schools to avoid further shootings and also to avoid cases of bullying
__label__Support	this would ensure everyone got punished if they broke a rule
__label__Support	zero tolerance policies remove troublemakers from schools before they become an even larger problem, which improves the learning environment for other students.
__label__Support	we should adopt a zero-tolerance policy in schools then all the children will more likely behave
__label__Support	an effective measure to avoid bullying is to adopt zero tolerance and more severe punishments
__label__Attack	zero-tolerance policies have been shown to be disproportionately applied to minority students.
__label__Attack	there should be some leeway for pupils otherwise they will have no grounding for future life if all they know is what they can't do and cannot question it.
__label__Support	zero-tolerance policies in schools allow for a safer, bully-free environment.
__label__Support	We should adopt a zero-tolerance policy in schools since the current system clearly isn't working and needs a drastic, non tolerant change.
__label__Attack	children are still growing and forming their own personalities - a zero-tolerance policy allows no room for mistakes, at a time when children are testing boundaries and they need some flexibility to develop
__label__Support	we should adopt a zero tolerance policy in schools because it will scare kids into behaving
__label__Support	zero tolerance will improve educational standards and behaviour leading to better learning outcomes.
__label__Attack	a zero-tolerance policy in schools is the wrong way to go as it would too often cause innocent students being punished for being pushed too far.
__label__Support	a zero tolerance policy in schools would cut down on bullying and fighting.
__label__Support	Zero tolerance parties have the appearance of fairness, which increases buy-in to the disciplinary system from otherwise skeptical parents and community leaders.
__label__Support	adopting zero-tolerance in school will solve the big issues which schools all around country face it today.
__label__Support	a zero-tolerance policy in school would improve behaviour and thus improve results.
__label__Support	being permissive of disruptive behavior is unfair to well-behaved students.
__label__Attack	students who are suspended will loose out on classes and might fail exams or even drop out of school as a result.
__label__Support	we should adopt a zero-tolerance policy because it will keep kids disciplined and the schools will be safer
__label__Support	we need to have the safest possible learning environment, as this enables students to perform at their best.
__label__Support	teachers and children should feel safe in schools and a zero-tolerance policy will be beneficial for all.
__label__Support	there is an increase in anti-social behaviour and lack of respect among schoolchildren these days so a zero-tolerance policy will quickly teach them to respect the rule and people in general
__label__Attack	kids needs their freedom and to learn from mistakes
__label__Attack	kids in schools are not always mature enough to understand the consequences of their actions. a zero-tolerance policy would just be punishing students that need the most guidance.
__label__Attack	a zero-tolerance policy in schools shouldn't be adopted because the smallest little unimportant things could lead to a student being suspended.
__label__Attack	zero tolerance can punish children unreasonably due to the lack of flexibility where a child could for instance be suspended just for bringing a rubber band into school which could be classed as a weapon.
__label__Support	dangerous items should not be allowed in schools because it is endangers the students and faculty and a strict punishment would help prevent these items from being brought.
__label__Support	Zero tolerance policies send a strong signal to students, parents, and the community that violence and bullying will not be tolerated.
__label__Attack	zero-tolerance policy is too harsh not letting a way for even a minor fault. students are terrorized and are no more comfortable for studying
__label__Attack	we should not adopt a zero-tolerance policy because it is too restricting and suppressing.
__label__Attack	it has been shown that children are at a higher risk of dropping out of school if there is a zero-tolerance policy in place
__label__Support	zero tolerance policies lead to better outcomes in schools
__label__Attack	being too harsh creates a negative environment which is bad for children so there should be some flexibility to avoid a zero-tolerance policy in schools.
__label__Attack	if a zero tolerance policy in schools is adopted, this will impinge on the rights of the pupils to challenge decisions they may deem unfair or unfit.
__label__Attack	zero tolerance policies don't allow for adminstrators to use their judgement to administer punishment
__label__Support	Zero tolerance policies provide a consistent framework for discipline, to ensure that issues are treated with the gravity they deserve.
__label__Support	zero-tolerance policy should be adopted to teach children disciplined and to help prepare them for a life where rules apply.
__label__Attack	students from schools with active zero tolerance policy have occasionally blurted about how the policy infringes on their rights and how teachers use the policy as an excuse to deal with them.
__label__Attack	we should not adopt a zero-tolerance policy in schools because some of the teachers would misuse the policy
__label__Support	adopting a zero-tolerance policy helps to combat violence and drug abuse in schools
__label__Position	All workers and unemployed should have access to social protection, including young people
__label__Support	The situation of young people is difficult. Temporary jobs, precarious contracts, civic contracts replacing regular employment, forced self-employment, lack of basic social protection, and even age-discriminatory practices (also on the basis of age) are still the norm for millions of young people who are trying to make their way in the labor market. They need urgent help!
__label__Support	I agree. Young people should have a voice in policymaking. Regulation needs to reduce forms of precarious work. It is time to expand collective bargaining coverage to all forms of work. It is essential to introduce a right to decent housing and policies capping rents and limiting property market speculation. we urgently need investment to achieve this. Youth is the future, we have to take care of it.
__label__Support	A lot of programs nowadays sound really good on paper, but there always is someone bending the rules. There needs to be outside monitoring in every youth program of that sort
__label__Support	We see this problem in many countries and the situation is getting worse - the pandemic, also, took its toll. Stable quality jobs and adequate social protection are necessary if we don't want to see a great strain on social systems in the long term.
__label__Support	To prevent precarious conditions, we must put in place quality standards, they must be binding for all jobs created under EU and National recovery plans. Better monitoring and trade union involvement are needed to assess and report youth unemployment and NEET rates. At the moment these numbers hide forced mobility, involuntary part-time employment, and work in a grey and informal economy. Urgent measures are needed to fight youth unemployment and precarious working conditions in sectors where young people are overrepresented (tourism; gig economy...).
__label__Support	I agree. Stable, quality jobs and adequate social protection for everyone are necessary. Trade unions have many proposals to achieve more equal and inclusive labor markets. This goes hand in hand with policies to promote more equal, sustainable, and inclusive societies.
__label__Support	We cannot afford a lost generation, so we need to invest in quality jobs and young people for our future!
__label__Support	The problem of youth employment has been there for a long time but was underlined again during the pandemic. Many young people are forced to move to a different country in order to find work.
__label__Support	Young people are too often working under precarious conditions. Think of short-term, zero-hour contracts and unpaid internships. Many of them can only get a job if they are registered as self-employed, carrying all the responsibilities themselves and still being underpaid. Everyone should be able to get a decent job and access social protection. Trade unions play a crucial role in addressing these issues and defending this vulnerable group, which is why it is important that young workers join a trade union.
__label__Support	All workers and unemployed should have access to social protection, including young people. It is embedded in the core principle of the European Pillar of Social Rights, but those high and lofty principles must become a reality for all workers, old and young!
__label__Position	The European Union should hold a referendum to decide on immigration
__label__Support	Absolutely right! If the eurocrats cared about what the people want, they'd ask them.
__label__Position	We do not want illegal migration.
__label__Attack	I do not agree with stripping people of their right to asylum and a right to live in the EU because they came illegally. I would instead suggest making it easier to migrate legally. That way there would be no need to migrate illegally and risk your life while doing so.
__label__Attack	I do not agree with stripping people of their right to asylum and a right to live in the EU because they came illegally. I would instead suggest making it easier to migrate legally. That way there would be no need to migrate illegally and risk your life while doing so.
__label__Position	Censorship of movies is an outdated concept
__label__Support	Through censorship, money power will rule society. It's a fact that rich people influence politics.
__label__Support	Filmmakers spend lot of money and time to make movies. If parts of the movie is cut in the name of censorship, they will be discouraged to make more movies.
__label__Support	Censorship causes imposition of majoritarian ideals on others.
__label__Position	There should be no illegal migration
__label__Support	Entering the EU without a permit automatically excludes a person from any right to receive asylum.
__label__Support	We must stop all loopholes - for example automatically rejecting asylum claims of anyone who enters Europe illegally.
__label__Support	This is just evidence. Immigration will be one of the most difficult topics in the next decades (or even years) due to the insane demographic rates the world is suffering nowadays, so immigration has to be closely monitored and all illegal immigration has to be blocked.
__label__Support	Entering the EU without a permit automatically excludes a person from any right to receive asylum.
__label__Support	We must stop all loopholes - for example automatically rejecting asylum claims of anyone who enters Europe illegally.
__label__Support	This is just evidence. Immigration will be one of the most difficult topics in the next decades (or even years) due to the insane demographic rates the world is suffering nowadays, so immigration has to be closely monitored and all illegal immigration has to be blocked.
__label__Support	An EU army independent from NATO and its US commanders is critical to strategic autonomy and avoiding being dragged into destructive US wars in the Middle East like in the past.
__label__Position	We should allocate 3% GDP for research and innovation by 2035
__label__Position	Esperanto should replace English as the first foreign language in schools and universities
__label__Support	Esperanto is politically neutral: it is not used by any European nation. Although there is some culture connected to the language, there is no political or economic power imposing it. Also, where English is connected to the US, Canada, Australia, and other countries, Esperanto would be a truly European language.
__label__Support	To build a common European understanding and to create a European identity, we need our own common language.
__label__Support	Esperanto is linguistically neutral: The language was created with the principle of internationality in a European context. It’s democratic: There are no native speakers of Esperanto, or better yet not any monolingual speakers of Esperanto. Everyone has to learn it as a second language. As a result of this nobody will have an advantage over others and nobody can feel like a 'stranger' since nobody can feel like a 'native'. Everyone is respected regardless of their origin and not discouraged from learning the language.
__label__Position	Norway and Iceland should be invited to the European Conference
__label__Support	Norway and Iceland can provide their external point of view toward EU policy at the conference. But why only Norway and Iceland? Why not Switzerland? Why not the recognized candidates? And maybe even UK! I'm sure there are many lessons to learn from their experience in the EU and from the Brexit
__label__Position	We should build a Europe-wide uniform high-speed train network
__label__Position	Firecrackers should be banned during Diwali, other festivals, and weddings
__label__Attack	Almost 3 lakh people were employed in the firecracker industry in these places, and 5 lakh people in packaging, transporting, distributing, and selling these crackers. Thus, the ban would also mean huge unemployment in these states.
__label__Attack	Bursting crackers on Diwali has always been on the to-do list in every family. A Deepavali without firecrackers will definitely be a cut-down in entertainment and recreation for the kids, as well as the elders.
__label__Support	Banning firecrackers in some places currently having pollution at its peak like Delhi-NCR will obviously bring down the poisonous emission of gases which has deadly effects on the entire balanced ecosystem. The highest level of particulate matter recorded in Delhi was 2.5 in the year 2016, which indeed made Delhi the most polluted city in the world in terms of air pollution. The “Central Pollution Control Board” also stated that the level of sulfur dioxide in the air gets tremendously high between 9 p.m. till midnight during Deepavali.
__label__Support	The crackers regulated in the market comprise chemical components like saltpeter, carbon, and sulfur. When these are ignited altogether, hazardous oxides of gases are emitted which cause suffocation, reduce visibility, and other health hazards. Medical experts state that the air gets contaminated with toxic gases and remains for days after Diwali. The toxic elements that reach the lungs, cannot be removed thereafter and can cause grave health issues. This will cause long-term effects on children.
__label__Attack	With the ban, religious sentiments get triggered too. In 2017, the Hindu community raised questions about the ban on Christmas trees on Christmas, or slaughter of lamb on Eid, or colors on Holi, etc., thinking it to be against their communal practices.
__label__Support	As we are transitioning into a more extensive digital age every day we still should not forget that as we age it gets harder to be quick with digital news, information, and advances in society. Therefore even right now our current older generations and future older generations need a physical touch point where competent people would be able to introduce on the spot what that one person as a citizen of the European Union can do that exact day to influence the benefit of Europe and their country.
__label__Position	We should be realistic wrt. migration.
__label__Position	We need to develop a partnership between the EU and the AU (African Union)
__label__Support	Agreed, BUT only on one condition: that every euro be spent under the joint control of local and European officers. There's so much corruption in Africa that otherwise of every 100 euros sent there, at least 80 would end up in the pockets of corrupt officers. And in that case, it's better to not send anything.
__label__Position	We should use waste from the agri-food industry in the ruminant feed chain
__label__Position	We should support agroforestry
__label__Position	We should adopt a single migration policy.
__label__Support	We must move towards full co-decision power for the European Parliament and the abolition of unanimity for climate, energy, social affairs, and taxation policies.
__label__Support	There is a lack of security and defense policy that can realistically be achieved by strengthening the Euro body as the 28th European army.
__label__Position	We should implement a legislation on aquatic animal welfare
__label__Position	We should label products with environmental impact and climate impacts in clear language
__label__Position	Migrants should be housed in EU bureaucrats' neighborhoods
__label__Support	EU bureaucrats who have enabled immigration must be named and a democratic process for removing them from power must be put into place. Democracy must prevail over this multicultural fascism.
__label__Support	I think EU bureaucrats and politicians should set an example for the rest of, Merkle in particular. They should also donate 30% of their wages to them.
__label__Support	It would be easier if the EU joined NATO. The internal rivalry between the single EU states would stop. Also, the issue of a legitimate European army would be solved. However, I am not sure how this would work out in legal terms. Federations have already joined NATO, rather than individual states, but what would be the status of the EU?
__label__Position	Doctors should be paid based on how many people they successfully treated
__label__Support	Unfortunately, in our society, a healthy person is not profitable. Pharma is a big business, doctors are being paid for prescribing drugs. Modern healthcare should be preventive. Doctors should be encouraged and paid for curing people and keeping them healthy. Good quality healthcare should be accessible in every part of the world and should be free as there is nothing more important than human life.
__label__Position	There should be no immigration from non-European or non-first-world countries.
__label__Support	Halt all immigration from non-European or non-first-world countries into the EU.
__label__Support	Halt all immigration from non-European or non-first-world countries into the EU.
__label__Position	We can rely on Cryptocurrencies like Bitcoins
__label__Attack	If value of standard currency falls, we can still afford to live in our country, because the fall of currency value impacts all fields. For example, if the prices of groceries rise, so does our salaries. But if the value of cryptocurrencies like bitcoin falls, we will loose our hard earned money.
__label__Attack	Ransomware hackers demanded their payment through bitcoins, because it protects identity of the person in financial transactions.
__label__Position	The EU must take the lead for the Middle East.
__label__Support	I would like to strongly support the need for Europe to gain back an active role in the diplomatic efforts to try to stabilize the Middle East and in particular to find a just and fair solution to the Israel - Palestine conflict. I remember that the European Union - with the Venice Declaration of June 1980 - played a key role in pushing the Palestinians to the table of negotiations. That text was much criticized at that time, but with the benefit of insights, it was right! Europe has become more and more marginal in the peace process and this has contributed to a much-aggravated situation where problems are even more difficult to resolve than 40 years ago and create room for despair and violence.
__label__Position	We should ban the use of drones
__label__Support	the loss of experience and knowledge from mandatory retirement is costly to businesses
__label__Support	We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.
__label__Attack	Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.
__label__Attack	Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.
__label__Attack	Without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier
__label__Support	mandatory retirement should be ended as it is unfair on older people.
__label__Support	You do not become unqualified for a job simply because you reach retirement age.
__label__Support	some older workers love their job and would be devastated to be forced to stop working
__label__Attack	mandatory retirement creates employment opportunities for the younger generation of workers, who would otherwise be increasingly shunted out.
__label__Attack	a mandatory retirement age helps employers regularly refresh the workforce with fresh talent
__label__Attack	mandatory retirement is needed to keep businesses new and fresh with innovation from the younger generation.
__label__Attack	the companies that have the mandatory retirement policy maintain a rotation of employees fresher and updated with the new times
__label__Attack	certain professions, such as police officer and air traffic controller, have mandatory retirement ages to ensure that the person who is responsible for the safety of others remains competent to do his job
__label__Support	if a person wants to continue working, that is their right. they should not be forced to stop based on some arbitrary rule made up by someone.
__label__Support	As people continue to have children later and later, mandatory retirement prevents people from being able to provide for their family and dependents.
__label__Attack	mandatory retirement leaves openings in the job force for those that are stronger and more capable of doing the jobs.
__label__Attack	for people who work in skilled manual jobs it comes to a point where it is no longer safe for them work, the retirement age is used to protect people of a certain age as a safety precaution
__label__Support	just because someone has reached the age of retirement, they are still able to provide a vaulable service with expertise and a vast knowledge of experience.
__label__Support	someone should be able to continue working if they want, despite their age.
__label__Support	mandatory retirement is harsh. it pushes workers who might still be viable out of the workforce for no other reason than their age, often leaving them to struggle.
__label__Support	Mandatory retirement is discriminatory on the basis of age, which is an immutable characteristic much like gender or race in that one has no control over it.
__label__Attack	if retirees continue to work past retirement age, there will never be a natural progression through the workplace for the younger generation.
__label__Support	Mandatory retirement forces people who are still excellent at their jobs to quit working long before they are ready.
__label__Attack	if we end mandatory retirement many older workers that want to retire after many years of service may be denied that right
__label__Support	mandatory retirement is purely age discrimination
